product_id,mpn,brand,manufacturer,product_type,size,quantity,material
PROD-0437,S11848,Satco,Satco Prod Inc,Chandeliers & Pendant Lights,10 in,nan,
PROD-0438,S11849,Satco,Satco Prod Inc,Chandeliers & Pendant Lights,12 in,nan,
PROD-0439,HLBSL609FS5,nan,Cooper Lighting,Chandeliers & Pendant Lights,6 in,nan,
PROD-0440,WF4REGSWW590CRIMW,nan,Lithonia Lighting,Chandeliers & Pendant Lights,4 in,nan,
PROD-0441,43849WH5CCT,nan,Kichler Lighting,Chandeliers & Pendant Lights,nan,nan,
PROD-0442,62-1777,Satco,Satco Prod Inc,Chandeliers & Pendant Lights,15 in,nan,
PROD-0443,62-1778,Satco,Satco Prod Inc,Chandeliers & Pendant Lights,19 in,nan,
PROD-0444,62-1784,Satco,Satco Prod Inc,Chandeliers & Pendant Lights,nan,nan,
PROD-0445,62-1787,Satco,Satco Prod Inc,Chandeliers & Pendant Lights,15 in,nan,
PROD-0446,62-1788,Satco,Satco Prod Inc,Chandeliers & Pendant Lights,19 in,nan,
PROD-0447,SHOP/4X2/840/V1,Feit Electric,Feit Electric,Light Bulbs,nan,nan,
PROD-0448,45495BKCLR,nan,Kichler Lighting,Wall Sconces & Bath Lights,nan,nan,
PROD-0449,55209NI,nan,Kichler Lighting,Wall Sconces & Bath Lights,nan,nan,
PROD-0450,65-1210,Satco,Satco Prod Inc,nan,nan,nan,
PROD-0451,65-1211,Satco,Satco Prod Inc,Lighting & Electrical Supplies,nan,nan,
PROD-0452,141465,nan,Phillips Lighting,Lighting & Electrical Supplies,18 in,nan,
PROD-0453,391227,nan,Phillips Lighting,Lighting & Electrical Supplies,12 in,nan,
PROD-0454,392225,nan,Phillips Lighting,Lighting & Electrical Supplies,8 in,nan,
PROD-0455,S3539,Satco,Satco Prod Inc,nan,nan,nan,
PROD-0456,S3496,Satco,Satco Prod Inc,nan,nan,nan,
PROD-0457,467316,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0458,S3709,Satco,Satco Prod Inc,nan,nan,nan,
PROD-0459,S4720,Satco,Satco Prod Inc,nan,nan,nan,
PROD-0460,S3720,Satco,Satco Prod Inc,nan,nan,nan,
PROD-0461,S3702,Satco,Satco Prod Inc,nan,nan,nan,
PROD-0462,S3703,Satco,Satco Prod Inc,nan,nan,nan,
PROD-0463,S3797,Satco,Satco Prod Inc,LED Light Bulbs,nan,2.0,
PROD-0464,S4724,Satco,Satco Prod Inc,LED Light Bulbs,nan,4.0,
PROD-0465,S4717,Satco,Satco Prod Inc,LED Light Bulbs,nan,2.0,
PROD-0466,S3794,Satco,Satco Prod Inc,nan,nan,nan,
PROD-0467,S3795,Satco,Satco Prod Inc,nan,nan,nan,
PROD-0468,S4726,Satco,Satco Prod Inc,LED Light Bulbs,nan,4.0,
PROD-0469,S11429,Satco,Satco Prod Inc,LED Light Bulbs,nan,nan,
PROD-0470,S21354,Satco,Satco Prod Inc,nan,nan,nan,
PROD-0471,S21363,Satco,Satco Prod Inc,nan,nan,nan,
PROD-0472,S11445,Satco,Satco Prod Inc,LED Light Bulbs,nan,nan,
PROD-0473,567313,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,3.0,
PROD-0474,586875,nan,Phillips Lighting,LED Light Bulbs,nan,4.0,
PROD-0475,576355,nan,Phillips Lighting,LED Light Bulbs,nan,nan,
PROD-0476,576363,nan,Phillips Lighting,LED Light Bulbs,nan,nan,
PROD-0477,565374,nan,Phillips Lighting,LED Light Bulbs,nan,4.0,
PROD-0478,565390,nan,Phillips Lighting,LED Light Bulbs,nan,4.0,
PROD-0479,576371,nan,Phillips Lighting,LED Light Bulbs,nan,nan,
PROD-0480,576496,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0481,564856,nan,Phillips Lighting,LED Light Bulbs,nan,2.0,
PROD-0482,565796,nan,Phillips Lighting,LED Light Bulbs,nan,nan,
PROD-0483,576389,nan,Phillips Lighting,LED Light Bulbs,nan,nan,
PROD-0484,564492,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,3.0,
PROD-0485,603449,nan,Phillips Lighting,LED Light Bulbs,nan,nan,
PROD-0486,586909,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0487,566364,nan,Phillips Lighting,LED Light Bulbs,nan,4.0,
PROD-0488,576397,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,nan,
